FEN,White,Black,Move,Knight_Promo_Score,Queen_Promo_Score,Knight_Win_Prob,Queen_Win_Prob,Classification
8/4kP2/8/6K1/6P1/8/7R/8 w - - 1 69,cinder-bot,simbelmyne-bot,f7f8n,9991,9997,1.0,1.0,Equivalent
8/n5kP/8/7K/8/8/8/8 w - - 1 97,Nikitosik-ai,Nikitosikbot_v2,h7h8n,2,-28,0.5017,0.4755,Equivalent
4K3/1PQ5/k7/8/3q4/8/8/8 w - - 15 77,pawn_git,MateWithRook_SF17DEV,b7b8n,13,0,0.5114,0.5,Equivalent
5r2/1bp1PP1k/pp6/8/P1P1p1pp/8/1P2p1PB/6K1 w - - 0 38,Jord10010,Shaginyan_A,e7f8n,-147,-9999,0.3741,0.0,Brilliant
5n2/p4P2/1p6/P1p5/8/5K2/6pk/8 b - - 0 57,byrize11,Resisperforjcl,g2g1n,-722,-9994,0.926,1.0,Style / Flex
8/P1k5/8/8/1P1Q4/5B2/7p/7K w - - 1 60,RouteDeCroissant,snow152,a7a8n,9998,0,1.0,0.5,Brilliant
8/1P1k1N2/8/4Q3/8/5B2/7p/7K w - - 13 71,RouteDeCroissant,snow152,b7b8n,9998,0,1.0,0.5,Brilliant
8/k1P3p1/2P5/B2Bp3/3bP1b1/P7/2K5/6q1 w - - 2 61,pawn_git,Boller1910,c7c8n,-5077,-9999,0.0,0.0,Equivalent
1rb2rkb/3P4/1N3pp1/1QpPp2p/8/5PPP/1B4K1/3R4 w - - 1 50,CPU2006,simpleEval,d7c8n,622,610,0.8982,0.8943,Equivalent
5K2/7P/5b2/3bk3/8/8/8/8 w - - 7 73,Cheng-4-NN,cinder-bot,h7h8n,-9986,-9987,0.0,0.0,Equivalent
8/8/8/8/8/4K3/3p3R/4k3 b - - 5 137,odonata-bot,Boller1910,d2d1n,28,9999,0.4755,0.0,Brilliant
5K2/4P3/5kq1/8/8/8/8/8 w - - 3 64,CivEn,nickVet,e7e8n,-9991,-9999,0.0,0.0,Equivalent
3Q4/4P1kp/p5p1/1p3q2/8/PP6/K1P4P/8 w - - 1 57,LeelaMultiPoss,odonata-bot,e7e8n,531,0,0.8651,0.5,Brilliant
3K4/4P3/1kq5/8/8/8/8/8 w - - 19 84,odonata-bot,Fruity23,e7e8n,-9988,-9999,0.0,0.0,Equivalent
8/P7/8/3b4/1p2k3/8/2K5/8 w - - 1 79,Boller1910,ilovecatgirl,a7a8n,0,0,0.5,0.5,Equivalent
4k3/R5p1/1r4Pp/5P1P/3N4/K7/N1p5/1r6 b - - 16 64,PZChessBot,duchessAI,c2c1n,-13,-4,0.5114,0.5035,Equivalent
